Dens. Básica Experimental,Dens. Básica Teórica - aplicação web,Dens. Aparente Experimental,Dens. Aparente Teórica - aplicação web
0.434,0.465,0.541,0.55
0.413,0.429,0.597,0.62
0.496,0.506,0.554,0.573
0.442,0.439,0.583,0.61
0.477,0.457,0.6,0.612
0.447,0.469,0.613,0.646
0.42,0.444,0.526,0.545
0.401,0.415,0.549,0.565
0.456,0.47,0.58,0.602
0.455,0.445,0.579,0.632
0.487,0.487,0.635,0.666
0.488,0.455,0.653,0.661
0.473,0.462,0.563,0.598
0.458,0.452,0.583,0.617
0.462,0.455,0.532,0.572
0.437,0.432,0.547,0.538
0.505,0.481,0.516,0.629
0.448,0.435,0.559,0.553
0.462,0.451,0.533,0.56
0.426,0.415,0.544,0.592
0.461,0.469,0.534,0.587
0.434,0.421,0.604,0.652
0.475,0.469,0.509,0.56
0.444,0.443,0.552,0.598
0.473,0.478,0.544,0.594
0.435,0.432,0.591,0.654
0.466,0.44,0.525,0.578
0.438,0.42,0.561,0.577
0.475,0.463,0.523,0.562
0.44,0.445,0.54,0.609
0.475,0.458,0.536,0.565
0.445,0.425,0.559,0.599
0.473,0.466,0.555,0.589
0.442,0.467,0.625,0.633
0.475,0.461,0.562,0.577
0.428,0.429,0.565,0.605
0.463,0.439,0.497,0.534
0.406,0.419,0.535,0.601
0.447,0.445,0.526,0.552
0.387,0.401,0.519,0.581
0.438,0.464,0.514,0.529
0.394,0.394,0.591,0.646
0.446,0.449,0.556,0.54
0.399,0.411,0.543,0.568
0.444,0.481,0.538,0.55
0.404,0.42,0.572,0.602
0.437,0.452,0.518,0.542
0.388,0.402,0.531,0.575
0.439,0.451,0.531,0.553
0.394,0.409,0.517,0.586
